t,x,y,z,w
1.30,-0.0958458,0.1213143,-0.9204530,0.3589745
1.32,-0.0894901,0.1117613,-0.9209638,0.3623901
1.34,-0.0829603,0.1023362,-0.9214293,0.3655311
1.36,-0.0762731,0.0930323,-0.9218506,0.3684004
1.38,-0.0694448,0.0838419,-0.9222289,0.3710010
1.40,-0.0624909,0.0747566,-0.9225654,0.3733354
1.42,-0.0554265,0.0657673,-0.9228613,0.3754059
1.44,-0.0482658,0.0568642,-0.9231176,0.3772145
1.46,-0.0410229,0.0480369,-0.9233354,0.3787629
1.48,-0.0337111,0.0392747,-0.9235156,0.3800527
1.50,-0.0263434,0.0305664,-0.9236590,0.3810850
1.52,-0.0189325,0.0219004,-0.9237663,0.3818610
1.54,-0.0114909,0.0132649,-0.9238380,0.3823812
1.56,-0.0040306,0.0046480,-0.9238744,0.3826463
1.58,0.0034361,-0.0039623,-0.9238758,0.3826564
1.60,0.0108973,-0.0125782,-0.9238422,0.3824117
1.62,0.0183409,-0.0212117,-0.9237733,0.3819118
1.64,0.0257547,-0.0298749,-0.9236688,0.3811562
1.66,0.0331262,-0.0385794,-0.9235283,0.3801443
1.68,0.0404430,-0.0473369,-0.9233511,0.3788751
1.70,0.0476919,-0.0561586,-0.9231363,0.3773473
1.72,0.0548596,-0.0650553,-0.9228831,0.3755595
1.74,0.0619322,-0.0740374,-0.9225905,0.3735100
1.76,0.0688954,-0.0831147,-0.9222572,0.3711967
1.78,0.0757343,-0.0922964,-0.9218823,0.3686173
1.80,0.0824333,-0.1015910,-0.9214644,0.3657695
1.82,0.0889763,-0.1110062,-0.9210025,0.3626503
1.84,0.0953465,-0.1205487,-0.9204954,0.3592566
1.86,0.1015264,-0.1302245,-0.9199419,0.3555852
1.88,0.1074979,-0.1400382,-0.9193412,0.3516324
1.90,0.1132423,-0.1499936,-0.9186922,0.3473942
1.92,0.1187403,-0.1600931,-0.9179943,0.3428665
1.94,0.1239721,-0.1703378,-0.9172468,0.3380448
1.96,0.1289172,-0.1807276,-0.9164493,0.3329243
1.98,0.1335549,-0.1912607,-0.9156015,0.3275000
2.00,0.1378641,-0.2019340,-0.9147034,0.3217667
2.02,0.1418236,-0.2127429,-0.9137550,0.3157187
2.04,0.1454117,-0.2236811,-0.9127565,0.3093504
2.06,0.1486071,-0.2347409,-0.9117083,0.3026558
2.08,0.1513884,-0.2459127,-0.9106109,0.2956288
2.10,0.1537345,-0.2571855,-0.9094645,0.2882629
2.12,0.1556248,-0.2685468,-0.9082699,0.2805519
2.14,0.1570388,-0.2799823,-0.9070272,0.2724891
2.16,0.1579572,-0.2914763,-0.9057369,0.2640678
2.18,0.1583610,-0.3030116,-0.9043987,0.2552816
2.20,0.1582323,-0.3145697,-0.9030125,0.2461237
2.22,0.1575542,-0.3261306,-0.9015774,0.2365875
2.24,0.1563109,-0.3376731,-0.9000922,0.2266665
2.26,0.1544878,-0.3491750,-0.8985550,0.2163545
2.28,0.1520715,-0.3606129,-0.8969630,0.2056453
2.30,0.1490502,-0.3719622,-0.8953128,0.1945329
2.32,0.1454133,-0.3831979,-0.8936000,0.1830119
2.34,0.1411517,-0.3942938,-0.8918191,0.1710769
2.36,0.1362581,-0.4052232,-0.8899634,0.1587233
2.38,0.1307265,-0.4159586,-0.8880251,0.1459466
2.40,0.1245527,-0.4264721,-0.8859951,0.1327433
2.42,0.1177341,-0.4367354,-0.8838629,0.1191101
2.44,0.1102698,-0.4467194,-0.8816167,0.1050447
2.46,0.1021605,-0.4563952,-0.8792429,0.0905455
2.48,0.0934090,-0.4657332,-0.8767270,0.0756118
2.50,0.0840195,-0.4747038,-0.8740525,0.0602440
2.52,0.0739985,-0.4832769,-0.8712017,0.0444433
2.54,0.0633539,-0.4914227,-0.8681556,0.0282124
2.56,0.0520959,-0.4991110,-0.8648935,0.0115551
2.58,-0.0402368,0.5063118,0.8613936,0.0055232
2.60,-0.0277906,0.5129951,0.8576328,0.0230156
2.62,-0.0147739,0.5191309,0.8535871,0.0409137
2.64,-0.0012052,0.5246899,0.8492312,0.0592070
2.66,0.0128944,0.5296427,0.8445393,0.0778833
2.68,0.0275016,0.5339606,0.8394847,0.0969283
2.70,0.0425906,0.5376156,0.8340407,0.1163255
2.72,0.0581329,0.5405805,0.8281799,0.1360563
2.74,0.0740978,0.5428290,0.8218754,0.1560996
2.76,0.0904515,0.5443361,0.8151003,0.1764321
2.78,0.1071579,0.5450784,0.8078284,0.1970278
2.80,0.1241782,0.5450339,0.8000347,0.2178586
2.82,0.1414710,0.5441828,0.7916949,0.2388936
2.84,0.1589924,0.5425074,0.7827868,0.2600998
2.86,0.1766961,0.5399926,0.7732897,0.2814418
2.88,0.1945335,0.5366259,0.7631853,0.3028820
2.90,0.2124540,0.5323981,0.7524578,0.3243808
2.92,0.2304049,0.5273031,0.7410941,0.3458968
2.94,0.2483321,0.5213386,0.7290844,0.3673870
2.96,0.2661803,0.5145058,0.7164222,0.3888073
2.98,0.2838929,0.5068102,0.7031046,0.4101124
3.00,0.3014132,0.4982612,0.6891326,0.4312565
3.02,0.3186837,0.4888726,0.6745110,0.4521937
3.04,0.3356477,0.4786625,0.6592488,0.4728782
3.06,0.3522490,0.4676533,0.6433589,0.4932650
3.08,0.3684324,0.4558718,0.6268584,0.5133098
3.10,0.3841444,0.4433490,0.6097683,0.5329703
3.12,0.3993335,0.4301197,0.5921136,0.5522058
3.14,0.4139508,0.4162230,0.5739227,0.5709781
3.16,0.4279501,0.4017011,0.5552276,0.5892515
3.18,0.4412883,0.3865998,0.5360634,0.6069936
3.20,0.4539262,0.3709677,0.5164679,0.6241754
3.22,0.4658279,0.3548558,0.4964814,0.6407713
3.24,0.4769620,0.3383175,0.4761462,0.6567597
3.26,0.4873010,0.3214075,0.4555061,0.6721229
3.28,0.4968217,0.3041819,0.4346061,0.6868472
3.30,0.5055055,0.2866977,0.4134919,0.7009231
3.32,0.5133378,0.2690118,0.3922093,0.7143450
3.34,0.5203084,0.2511815,0.3708044,0.7271115
3.36,0.5264114,0.2332631,0.3493223,0.7392248
3.38,0.5316448,0.2153123,0.3278075,0.7506908
3.40,0.5360104,0.1973834,0.3063031,0.7615189
3.42,0.5395137,0.1795294,0.2848509,0.7717215
3.44,0.5421635,0.1618010,0.2634907,0.7813142
3.46,0.5439716,0.1442474,0.2422604,0.7903148
3.48,0.5449528,0.1269152,0.2211959,0.7987436
3.50,0.5451245,0.1098487,0.2003305,0.8066227
3.52,0.5445061,0.0930896,0.1796953,0.8139760
3.54,0.5431193,0.0766772,0.1593192,0.8208285
3.56,0.5409872,0.0606481,0.1392282,0.8272062
3.58,0.5381347,0.0450363,0.1194462,0.8331359
3.60,0.5345878,0.0298732,0.0999945,0.8386445
3.62,0.5303736,0.0151875,0.0808922,0.8437592
3.64,0.5255200,0.0010054,0.0621562,0.8485071
3.66,0.5200557,-0.0126493,0.0438010,0.8529147
3.68,0.5140097,-0.0257552,0.0258393,0.8570082
3.70,0.5074116,-0.0382934,0.0082816,0.8608127
3.72,0.5002913,-0.0502471,-0.0088631,0.8643526
3.74,0.4926786,-0.0616017,-0.0255879,0.8676510
3.76,0.4846036,-0.0723446,-0.0418870,0.8707302
3.78,0.4760965,-0.0824656,-0.0577564,0.8736107
3.80,0.4671873,-0.0919561,-0.0731933,0.8763121
3.82,0.4579058,-0.1008096,-0.0881962,0.8788521
3.84,0.4482819,-0.1090214,-0.1027646,0.8812475
3.86,0.4383449,-0.1165885,-0.1168990,0.8835132
3.88,0.4281242,-0.1235100,-0.1306008,0.8856627
3.90,0.4176486,-0.1297864,-0.1438725,0.8877082
3.92,0.4069466,-0.1354200,-0.1567168,0.8896604
3.94,0.3960463,-0.1404148,-0.1691376,0.8915287
3.96,0.3849751,-0.1447766,-0.1811389,0.8933211
3.98,0.3737600,-0.1485124,-0.1927255,0.8950444
4.00,0.3624270,-0.1516312,-0.2039026,0.8967042
4.02,0.3510016,-0.1541430,-0.2146756,0.8983052
4.04,0.3395083,-0.1560597,-0.2250505,0.8998510
4.06,0.3279707,-0.1573944,-0.2350333,0.9013443
4.08,0.3164113,-0.1581615,-0.2446304,0.9027873
4.10,0.3048514,-0.1583766,-0.2538481,0.9041812
4.12,0.2933112,-0.1580564,-0.2626931,0.9055270
4.14,0.2818094,-0.1572188,-0.2711720,0.9068249
4.16,0.2703635,-0.1558824,-0.2792915,0.9080752
4.18,0.2589894,-0.1540666,-0.2870581,0.9092775
4.20,0.2477016,-0.1517918,-0.2944785,0.9104315
4.22,0.2365129,-0.1490783,-0.3015591,0.9115368
4.24,0.2254347,-0.1459475,-0.3083062,0.9125929
4.26,0.2144765,-0.1424204,-0.3147261,0.9135993
4.28,0.2036465,-0.1385187,-0.3208246,0.9145557
4.30,0.1929513,-0.1342638,-0.3266077,0.9154619
4.32,0.1823956,-0.1296769,-0.3320809,0.9163177
4.34,0.1719829,-0.1247794,-0.3372494,0.9171231
4.36,0.1617150,-0.1195919,-0.3421184,0.9178786
4.38,0.1515924,-0.1141350,-0.3466926,0.9185843
4.40,0.1416142,-0.1084285,-0.3509766,0.9192411
4.42,0.1317781,-0.1024918,-0.3549746,0.9198494
4.44,0.1220807,-0.0963439,-0.3586906,0.9204104
4.46,0.1125173,-0.0900029,-0.3621282,0.9209248
4.48,0.1030823,-0.0834863,-0.3652909,0.9213939
4.50,0.0937689,-0.0768110,-0.3681818,0.9218186
4.52,0.0845698,-0.0699934,-0.3708037,0.9222003
4.54,0.0754765,-0.0630489,-0.3731593,0.9225401
4.56,0.0664799,-0.0559927,-0.3752507,0.9228392
4.58,0.0575702,-0.0488392,-0.3770800,0.9230986
4.60,0.0487373,-0.0416024,-0.3786491,0.9233194
4.62,0.0399704,-0.0342956,-0.3799594,0.9235026
4.64,0.0312581,-0.0269319,-0.3810122,0.9236489
4.66,0.0225892,-0.0195240,-0.3818086,0.9237590
4.68,0.0139517,-0.0120843,-0.3823492,0.9238336
4.70,0.0053338,-0.0046251,-0.3826345,0.9238728
4.72,-0.0032766,0.0028416,-0.3826650,0.9238770
4.74,-0.0118916,0.0103036,-0.3824405,0.9238461
4.76,-0.0205233,0.0177491,-0.3819609,0.9237801
4.78,-0.0291837,0.0251657,-0.3812258,0.9236785
4.80,-0.0378845,0.0325411,-0.3802343,0.9235409
4.82,-0.0466373,0.0398626,-0.3789856,0.9233666
4.84,-0.0554535,0.0471174,-0.3774785,0.9231548
4.86,-0.0643438,0.0542921,-0.3757115,0.9229047
4.88,-0.0733188,0.0613728,-0.3736828,0.9226152
4.90,-0.0823881,0.0683453,-0.3713906,0.9222853
4.92,-0.0915612,0.0751946,-0.3688325,0.9219137
4.94,-0.1008465,0.0819054,-0.3660062,0.9214993
4.96,-0.1102518,0.0884614,-0.3629087,0.9210409
4.98,-0.1197840,0.0948459,-0.3595370,0.9205374
5.00,-0.1294490,0.1010416,-0.3558878,0.9199877
5.02,-0.1392516,0.1070304,-0.3519576,0.9193908
5.04,-0.1491956,0.1127936,-0.3477423,0.9187457
5.06,-0.1592835,0.1183120,-0.3432378,0.9180517
5.08,-0.1695167,0.1235657,-0.3384396,0.9173081
5.10,-0.1798949,0.1285344,-0.3333431,0.9165146
5.12,-0.1904167,0.1331973,-0.3279432,0.9156709
5.14,-0.2010790,0.1375335,-0.3222347,0.9147768
5.16,-0.2118773,0.1415216,-0.3162120,0.9138324
5.18,-0.2228055,0.1451401,-0.3098694,0.9128379
5.20,-0.2338559,0.1483675,-0.3032010,0.9117936
5.22,-0.2450192,0.1511826,-0.2962007,0.9107000
5.24,-0.2562844,0.1535642,-0.2888621,0.9095576
5.26,-0.2676392,0.1554914,-0.2811787,0.9083668
5.28,-0.2790693,0.1569441,-0.2731442,0.9071280
5.30,-0.2905592,0.1579026,-0.2647517,0.9058414
5.32,-0.3020919,0.1583481,-0.2559948,0.9045071
5.34,-0.3136489,0.1582624,-0.2468667,0.9031247
5.36,-0.3252103,0.1576287,-0.2373609,0.9016935
5.38,-0.3367552,0.1564310,-0.2274708,0.9002124
5.40,-0.3482611,0.1546545,-0.2171902,0.8986794
5.42,-0.3597049,0.1522860,-0.2065128,0.8970919
5.44,-0.3710623,0.1493132,-0.1954327,0.8954465
5.46,-0.3823080,0.1457257,-0.1839444,0.8937388
5.48,-0.3934160,0.1415142,-0.1720426,0.8919635
5.50,-0.4043596,0.1366711,-0.1597225,0.8901141
5.52,-0.4151115,0.1311905,-0.1469797,0.8881827
5.54,-0.4256437,0.1250680,-0.1338104,0.8861604
5.56,-0.4359279,0.1183008,-0.1202116,0.8840367
5.58,-0.4459353,0.1108878,-0.1061807,0.8818000
5.60,-0.4556367,0.1028299,-0.0917160,0.8794370
5.62,-0.4650027,0.0941293,-0.0768170,0.8769329
5.64,-0.4740036,0.0847905,-0.0614836,0.8742717
5.66,-0.4826095,0.0748194,-0.0457173,0.8714356
5.68,-0.4907904,0.0642242,-0.0295206,0.8684058
5.70,-0.4985162,0.0530146,-0.0128971,0.8651617
5.72,-0.5057569,0.0412029,0.0041479,0.8616815
5.74,-0.5124825,0.0288029,0.0216077,0.8579424
5.76,-0.5186631,0.0158309,0.0394738,0.8539203
5.78,-0.5242690,0.0023055,0.0577361,0.8495900
5.80,-0.5292712,-0.0117527,0.0763824,0.8449258
5.82,-0.5336407,-0.0263204,0.0953986,0.8399012
5.84,-0.5373495,-0.0413720,0.1147684,0.8344891
5.86,-0.5403703,-0.0568794,0.1344734,0.8286625
5.88,-0.5426768,-0.0728117,0.1544926,0.8223943
5.90,-0.5442438,-0.0891358,0.1748030,0.8156576
5.92,-0.5450478,-0.1058155,0.1953787,0.8084263
5.94,-0.5450668,-0.1228123,0.2161918,0.8006750
5.96,-0.5442806,-0.1400850,0.2372118,0.7923796
5.98,-0.5426714,-0.1575899,0.2584056,0.7835175
6.00,-0.5402239,-0.1752808,0.2797382,0.7740680
6.02,-0.5369255,-0.1931094,0.3011720,0.7640126
6.04,-0.5327665,-0.2110251,0.3226676,0.7533352
6.06,-0.5277407,-0.2289755,0.3441838,0.7420225
6.08,-0.5218454,-0.2469067,0.3656777,0.7300646
6.10,-0.5150817,-0.2647632,0.3871052,0.7174545
6.12,-0.5074544,-0.2824887,0.4084211,0.7041891
6.14,-0.4989730,-0.3000264,0.4295797,0.6902691
6.16,-0.4896506,-0.3173189,0.4505351,0.6756990
6.18,-0.4795052,-0.3343094,0.4712414,0.6604874
6.20,-0.4685587,-0.3509416,0.4916535,0.6446469
6.22,-0.4568376,-0.3671602,0.5117272,0.6281943
6.24,-0.4443726,-0.3829117,0.5314198,0.6111503
6.26,-0.4311982,-0.3981443,0.5506905,0.5935395
6.28,-0.4173531,-0.4128089,0.5695010,0.5753902
