t,qx,qy,qz,qw
2.264,0.374256,0.036458,0.213129,0.901764
2.280,0.374008,0.034294,0.213924,0.901764
2.304,0.373603,0.031164,0.215073,0.901772
2.328,0.373166,0.028184,0.216177,0.901787
2.344,0.372859,0.026282,0.216894,0.901800
2.364,0.372454,0.023976,0.217747,0.901826
2.380,0.372116,0.022200,0.218406,0.901851
2.400,0.371693,0.020070,0.219209,0.901881
2.424,0.371269,0.017688,0.220163,0.901873
2.448,0.370926,0.015473,0.221089,0.901828
2.464,0.370731,0.014075,0.221687,0.901784
2.480,0.370557,0.012727,0.222256,0.901736
2.500,0.370362,0.011081,0.222885,0.901683
2.520,0.370193,0.009505,0.223489,0.901621
2.540,0.370042,0.007987,0.224065,0.901554
2.564,0.369883,0.006239,0.224734,0.901467
2.580,0.369787,0.005115,0.225167,0.901405
2.596,0.369697,0.004017,0.225588,0.901342
2.616,0.369583,0.002635,0.226031,0.901283
2.636,0.369475,0.001286,0.226465,0.901221
2.652,0.369392,0.000226,0.226800,0.901172
2.668,0.369310,-0.000818,0.227122,0.901124
2.688,0.369216,-0.002095,0.227525,0.901059
2.704,0.369153,-0.003078,0.227890,0.900990
2.724,0.369080,-0.004283,0.228334,0.900903
2.740,0.369044,-0.005244,0.228648,0.900833
2.768,0.369109,-0.006863,0.229176,0.900661
2.788,0.369224,-0.007991,0.229530,0.900514
2.808,0.369374,-0.009108,0.229862,0.900357
2.824,0.369508,-0.009999,0.230113,0.900229
2.844,0.369676,-0.011126,0.230361,0.900083
2.864,0.369827,-0.012281,0.230545,0.899959
2.884,0.369955,-0.013459,0.230688,0.899853
2.908,0.370071,-0.014892,0.230846,0.899742
2.928,0.370137,-0.016102,0.230976,0.899661
2.948,0.370168,-0.017331,0.231101,0.899593
2.964,0.370166,-0.018326,0.231202,0.899548
2.992,0.370090,-0.020136,0.231307,0.899514
3.016,0.369958,-0.021735,0.231378,0.899513
3.036,0.369836,-0.023084,0.231441,0.899513
3.056,0.369774,-0.024429,0.231513,0.899484
3.076,0.369767,-0.025766,0.231595,0.899429
3.096,0.369803,-0.027097,0.231694,0.899349
3.112,0.369848,-0.028181,0.231745,0.899285
3.128,0.369904,-0.029272,0.231779,0.899218
3.148,0.369988,-0.030632,0.231835,0.899123
3.164,0.370059,-0.031715,0.231890,0.899042
3.184,0.370151,-0.033062,0.231973,0.898935
3.204,0.370245,-0.034395,0.232077,0.898819
3.224,0.370342,-0.035714,0.232204,0.898695
3.244,0.370437,-0.037017,0.232355,0.898564
3.264,0.370519,-0.038306,0.232490,0.898441
3.284,0.370590,-0.039573,0.232650,0.898316
3.300,0.370633,-0.040571,0.232793,0.898216
3.316,0.370660,-0.041556,0.232950,0.898119
3.336,0.370669,-0.042771,0.233178,0.898000
3.356,0.370641,-0.043974,0.233430,0.897887
3.376,0.370575,-0.045167,0.233705,0.897784
3.392,0.370490,-0.046118,0.233932,0.897712
3.412,0.370368,-0.047311,0.234193,0.897632
3.432,0.370287,-0.048505,0.234481,0.897526
3.456,0.370219,-0.049948,0.234859,0.897377
3.480,0.370146,-0.051404,0.235297,0.897210
3.500,0.370046,-0.052644,0.235666,0.897082
3.520,0.369916,-0.053910,0.236066,0.896955
3.536,0.369784,-0.054948,0.236407,0.896857
3.556,0.369579,-0.056275,0.236857,0.896740
3.576,0.369331,-0.057645,0.237335,0.896629
3.596,0.369042,-0.059064,0.237841,0.896522
3.616,0.368711,-0.060544,0.238366,0.896420
3.632,0.368422,-0.061763,0.238827,0.896333
3.648,0.368105,-0.063023,0.239305,0.896248
3.664,0.367759,-0.064325,0.239797,0.896166
3.684,0.367278,-0.066014,0.240435,0.896069
3.708,0.366622,-0.068123,0.241263,0.895958
3.728,0.366005,-0.069958,0.241987,0.895873
3.748,0.365351,-0.071874,0.242729,0.895788
3.772,0.364586,-0.074274,0.243673,0.895647
3.788,0.364074,-0.075933,0.244328,0.895538
3.808,0.363405,-0.078071,0.245161,0.895398
3.832,0.362531,-0.080723,0.246181,0.895237
3.852,0.361718,-0.083002,0.247051,0.895118
3.872,0.360814,-0.085345,0.247905,0.895027
3.888,0.360027,-0.087257,0.248597,0.894967
3.908,0.358960,-0.089688,0.249476,0.894911
3.932,0.357549,-0.092652,0.250556,0.894872
3.948,0.356529,-0.094652,0.251289,0.894864
3.964,0.355448,-0.096668,0.252033,0.894869
3.988,0.353705,-0.099731,0.253150,0.894909
4.004,0.352465,-0.101789,0.253904,0.894953
4.024,0.350837,-0.104369,0.254864,0.895022
4.044,0.349125,-0.106950,0.255848,0.895106
4.064,0.347336,-0.109526,0.256861,0.895201
4.080,0.345870,-0.111582,0.257691,0.895276
4.100,0.344058,-0.114157,0.258757,0.895342
4.120,0.342247,-0.116741,0.259807,0.895399
4.136,0.340799,-0.118803,0.260663,0.895431
4.156,0.338982,-0.121363,0.261761,0.895457
4.176,0.337152,-0.123893,0.262889,0.895471
4.196,0.335313,-0.126388,0.264053,0.895471
4.224,0.332729,-0.129810,0.265749,0.895443
4.244,0.330879,-0.132206,0.267005,0.895404
4.260,0.329399,-0.134092,0.268041,0.895360
4.276,0.327918,-0.135951,0.269104,0.895305
