t,qx,qy,qz,qw
0.836,-0.07887902110815048,-0.2671389579772949,0.11413595825433731,-0.9536184072494507
0.856,-0.08002878725528717,-0.2668684124946594,0.11582360416650772,-0.9533948302268982
0.88,-0.08145114779472351,-0.26657551527023315,0.1177840381860733,-0.9531160593032837
0.896,-0.08243507146835327,-0.26637929677963257,0.11909165233373642,-0.9529238343238831
0.912,-0.0834498330950737,-0.2661761939525604,0.12040797621011734,-0.9527267813682556
0.932,-0.08476340770721436,-0.26590701937675476,0.12206847965717316,-0.9524747133255005
0.948,-0.0858495682477951,-0.26567405462265015,0.12339404970407486,-0.952271580696106
0.972,-0.08754837512969971,-0.2652776539325714,0.12542209029197693,-0.9519624710083008
0.996,-0.08935004472732544,-0.26482245326042175,0.12755997478961945,-0.9516375660896301
1.016,-0.09091806411743164,-0.264390766620636,0.12935972213745117,-0.951366126537323
1.036,-0.09255033731460571,-0.26390162110328674,0.131186842918396,-0.9510943293571472
1.052,-0.09390541911125183,-0.2634613811969757,0.13268359005451202,-0.9508758783340454
1.072,-0.09565958380699158,-0.26284143328666687,0.13459214568138123,-0.9506044387817383
1.092,-0.09747713804244995,-0.26213642954826355,0.1365228146314621,-0.9503390789031982
1.116,-0.09978020936250687,-0.26116037368774414,0.13898231089115143,-0.95001220703125
1.132,-0.10138175636529922,-0.2604418992996216,0.14068810641765594,-0.9497888088226318
1.152,-0.10346315801143646,-0.259530246257782,0.142869770526886,-0.94948810338974
1.172,-0.10563328117132187,-0.25861600041389465,0.1451021283864975,-0.9491600394248962
1.192,-0.10788195580244064,-0.2576848566532135,0.14737819135189056,-0.9488096237182617
1.212,-0.11019466072320938,-0.2567194998264313,0.14968867599964142,-0.9484437108039856
1.236,-0.1130547970533371,-0.255487322807312,0.1525609940290451,-0.947982132434845
1.252,-0.11500096321105957,-0.25461238622665405,0.15451842546463013,-0.947666347026825
1.272,-0.117462158203125,-0.25345379114151,0.15699107944965363,-0.947268545627594
1.288,-0.11944988369941711,-0.25246697664260864,0.15899528563022614,-0.9469491243362427
1.308,-0.12194942682981491,-0.25115692615509033,0.16152913868427277,-0.9465499520301819
1.336,-0.1254534274339676,-0.24917511641979218,0.16511417925357819,-0.9459971189498901
1.356,-0.12794727087020874,-0.24765022099018097,0.1677042543888092,-0.9456079006195068
1.38,-0.13091814517974854,-0.24569666385650635,0.1708449125289917,-0.9451485872268677
1.404,-0.13385620713233948,-0.24361838400363922,0.1740194410085678,-0.9446955919265747
1.424,-0.13627511262893677,-0.24179932475090027,0.17667673528194427,-0.9443238973617554
1.44,-0.13819865882396698,-0.24033178389072418,0.17877456545829773,-0.9440240859985352
1.46,-0.14060720801353455,-0.2385118007659912,0.1814110428094864,-0.943626880645752
1.48,-0.1430208683013916,-0.23668287694454193,0.184080570936203,-0.9432076811790466
1.5,-0.14544683694839478,-0.23481804132461548,0.18681801855564117,-0.9427645206451416
1.516,-0.14738252758979797,-0.23329678177833557,0.18903028964996338,-0.9424005150794983
